taxon	lfc_(Intercept)	lfc_EnvironmentFreshwater	lfc_EnvironmentSaline	se_(Intercept)	se_EnvironmentFreshwater	se_EnvironmentSaline	W_(Intercept)	W_EnvironmentFreshwater	W_EnvironmentSaline	p_(Intercept)	p_EnvironmentFreshwater	p_EnvironmentSaline	q_(Intercept)	q_EnvironmentFreshwater	q_EnvironmentSaline	diff_(Intercept)	diff_EnvironmentFreshwater	diff_EnvironmentSaline	passed_ss_(Intercept)	passed_ss_EnvironmentFreshwater	passed_ss_EnvironmentSaline	diff_robust_(Intercept)	diff_robust_EnvironmentFreshwater	diff_robust_EnvironmentSaline
Roseateles	-0.465238029970173	4.51869544427179	-0.965333441257744	0.520315598280345	0.84687061589529	0.734559534901857	-0.894145844383284	5.335756560044	-1.31416637507363	0.387498481390161	0.000135267819764107	0.211506860432585	1	0.0664164995041765	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Roseburia	2.67854184627623	-3.61919214474177	-3.45002366453059	1.02415931366659	1.17737529954522	1.20286949748256	2.61535662521759	-3.07394944172835	-2.86816123590384	0.0180956489303848	0.00687771833809318	0.0106572349647271	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Roseococcus	-1.34905286294377	3.08285795495588	0.304601913228875	0.186822643707983	0.540886042430718	0.465389512679519	-7.22103507459423	5.69964412670302	0.654509620285821	0.00195061606728548	0.0046828018850046	0.548508032212547	0.854369837471041	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Roseomonas	0.334186420497209	2.42414600172658	-2.87664809427796	0.664069516562931	1.06832508697658	0.76523928001085	0.50324011592473	2.26910893629489	-3.75914850350753	0.62471969466682	0.0443769227540057	0.00315932987668248	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Rothia	1.77261887361667	-1.2511835401538	-2.40362092615539	1.01924387190682	1.29758148509922	1.16550679384462	1.73915087691468	-0.964242750472139	-2.06229679556534	0.100082069194324	0.348441318663459	0.054804953603133	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Rubrivivax	-1.36599049455278	4.38475824186513	-0.850708674346675	0.362462129838166	0.824923254357798	0.539848367396414	-3.76864334810003	5.31535293580572	-1.57582892849983	0.00699532954090441	0.00110481954918742	0.159068808174705	1	0.504902533978653	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Ruminococcus	2.31724030914313	-2.86202479092306	-2.87665800226922	1.05602329049639	1.20380511964633	1.31610852745041	2.19430795702801	-2.37748182343992	-2.18573008400906	0.0423965388048496	0.0294353065460283	0.0431169104750937	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
SA-8	-1.24628882392862	2.77777375129321	0.707638285832545	0.186822643707983	0.715517443723765	0.465389512679519	-6.6709730640396	3.88218872322225	1.52052907629624	0.00262410988175296	0.0178081689120378	0.203016488190004	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Salegentibacter	-0.247657820194792	1.76438336400749	1.77764592878471	0.225642477900799	0.540142517253335	0.845450283860476	-1.09756736629914	3.26651449876508	2.10260255714583	0.352592388913896	0.0469002229307861	0.126252079221394	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Salinicoccus	1.79877726693228	-1.92983866232671	-1.72831278248711	0.501315635294719	0.675182284532447	1.05033240401599	3.58811323703239	-2.85824836719923	-1.64549125198732	0.00887946321426315	0.0243986723053735	0.143864867590364	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Salinimonas	-0.658306548006033	0.506286061416034	3.28303623947942	0.32421721422985	0.756856338738552	1.27100595801196	-2.03044909126674	0.668932841680176	2.58302191172619	0.0632860227198042	0.51524229372166	0.0227260711657351	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
SargSea-WGS	-0.113809873942871	-2.2252042177146	2.1803397169003	0.191465480225647	0.518955874262455	0.814397106777102	-0.594414584857508	-4.28784859768104	2.6772439375783	0.584224789663445	0.0127679088021359	0.0553870304690993	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Schlegelella	0.0235975074457613	3.14392455120714	-1.12621174507746	0.694143903934371	1.09997707842423	0.825892356018207	0.0339951230746418	2.85817278639203	-1.36363018360789	0.97339746847202	0.0134446363532545	0.195831945509761	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Sediminicola	-0.825384725382735	1.01453973903297	2.86887123955622	0.28443594284595	0.65720600741671	1.50059580554482	-2.90182990632011	1.54371647182721	1.91182144382618	0.0157840491164519	0.15368808323456	0.0849490118870936	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Segetibacter	0.607571178171839	1.47838512426938	-1.41658075646853	0.664303547643438	0.944873796412185	0.785906594873376	0.914598725728843	1.5646376583656	-1.80247979303032	0.378413684929068	0.143644226071816	0.0966236366646992	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Sejongia	1.69634338603732	-1.82351693955079	-2.85507692352368	0.368176635673414	0.752569526943748	0.567552428677771	4.60741726029034	-2.42305444781462	-5.03050780731424	0.0192286119551212	0.0939117126542362	0.0151377719878493	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Selenomonas	3.09921223932501	-3.72031514482235	-4.54003255894229	0.740017609442309	0.954033203601786	0.835157710919748	4.18802498721704	-3.89956568678842	-5.43613798876672	0.00186379365826003	0.00296309952049241	0.000286402439473992	0.820069209634415	1	0.145492439252788	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Serinicoccus	1.59284379506846	-3.14906727610467	-1.97326597964678	0.375524959190261	0.595509441407659	0.591496954522296	4.24164561126133	-5.28802241768147	-3.33605433563125	0.00542990475888174	0.00185092970573626	0.0156883336158599	1	0.825514648758374	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Serratia	1.13268009189293	-1.0596451339477	-0.0789591759701848	0.565714705572079	1.0361652413243	1.1295557831634	2.0022107976626	-1.02266037470374	-0.0699028566336531	0.0665762288098126	0.3251230256733	0.945334839580354	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
