taxon	lfc_(Intercept)	lfc_EthnicityChinese	lfc_GenderMale	se_(Intercept)	se_EthnicityChinese	se_GenderMale	W_(Intercept)	W_EthnicityChinese	W_GenderMale	p_(Intercept)	p_EthnicityChinese	p_GenderMale	q_(Intercept)	q_EthnicityChinese	q_GenderMale	diff_(Intercept)	diff_EthnicityChinese	diff_GenderMale	passed_ss_(Intercept)	passed_ss_EthnicityChinese	passed_ss_GenderMale	diff_robust_(Intercept)	diff_robust_EthnicityChinese	diff_robust_GenderMale
Unknown_Ruminococcus	-0.0223249942549707	0.0877225559011495	0.0337695343783579	0.0953751931901442	0.137544280797802	0.144613633203939	-0.234075481351452	0.637776833702788	0.233515565788565	0.815650964293306	0.525825534591985	0.816083850160972	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Senegalimassilia	0.247886383894972	-0.076146590343185	-0.268975719000553	0.0617417980735717	0.0986869121505215	0.114585326738773	4.01488767138899	-0.771597658532906	-2.34738361931587	0.00058164695090542	0.448561902873355	0.0283124128162012	0.0727058688631776	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Streptococcus	0.194293701402968	-0.286336170277437	-0.141595893154609	0.206223420817094	0.236233555687282	0.221074256222079	0.942151481306738	-1.21208932170703	-0.640490193540985	0.347961882572769	0.227801372092119	0.523045383120542	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Subdoligranulum	0.0154249175570294	-0.0315048201514396	0.0551136775517037	0.137523897438393	0.166848450503075	0.170470373859317	0.112161724939038	-0.18882297112408	0.323303553010255	0.910852466304779	0.850499285971982	0.746937663068346	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Terrisporobacter	0.149621778256123	-0.202626738150379	-0.2627563100955	0.0833098686015155	0.114638529083331	0.123812941314807	1.79596704169332	-1.76752737295757	-2.12220392557685	0.0851010560581042	0.0898540516054204	0.0443360677582616	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Tuzzerella	0.141732615703139	-0.483962174713729	-0.0531251739561413	0.0708582181350152	0.101291232549009	0.11251454029375	2.00022833530866	-4.77792759091531	-0.472162742854776	0.0668130333605338	0.000360854073435135	0.644638151136325	1	0.0461893213996973	1	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Tyzzerella	-0.510953004977382	0.410968689092182	0.556163024101809	0.104743263228208	0.136467682114823	0.141265349823633	-4.87814671063043	3.01147262651091	3.93700949876363	1.50721711422039e-05	0.00434123654277193	0.000297270991605791	0.00204981527533973	0.494900965876	0.0401315838667818	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
UBA1819	-0.135162521482338	0.0959711038856813	0.100578710905572	0.085347455085237	0.126032519103846	0.134792104683188	-1.58367371759767	0.761478899002288	0.746176574228662	0.117775854971315	0.448928949242579	0.45805939399781	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
UCG-002	-0.104540030447509	0.100455957659463	0.228785235045892	0.178306004102133	0.214997868228585	0.216626194529005	-0.58629562685746	0.467241645171379	1.0561291331518	0.558742620065807	0.6411470181042	0.292962532377761	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
UCG-003	0.0909118553165297	0.0747326723902126	-0.125007965371752	0.0903820790071141	0.131735520999681	0.140756692295644	1.00586151939893	0.567293254113243	-0.888113831981687	0.318101159023287	0.572410883265308	0.37765680887911	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
UCG-005	-0.223648825896629	0.213951014697553	0.542951393808103	0.119238839061432	0.144759908876158	0.144230911147474	-1.87563739849401	1.4779714657087	3.76445929300788	0.0647037900212208	0.143717218430998	0.000334939884880588	1	1	0.0445470046891182	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Unknown	-0.00684206057340789	-0.00305428068170724	0.03681149584618	0.176977854197192	0.213009097433616	0.21664537255844	-0.0386605465663762	-0.0143387335024932	0.169915911018363	0.96921312942915	0.988579048888379	0.865308309906976	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Veillonella	0.000410947311350185	0.050064493252872	-0.224252159355379	0.0763436508543344	0.104082493640345	0.114106089315808	0.00538286166238346	0.481007818912074	-1.96529528529124	0.995781069905836	0.637941598490189	0.069539780664708	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
virosa_Butyricimonas	-0.17879761949821	0.468545983714818	0.0738604315453447	0.0675708382468293	0.100813187047845	0.113732902257846	-2.64607668244518	4.64766562228067	0.649420089341377	0.0164244717498037	0.000200153069210237	0.524268105484174	1	0.0266203582049615	1	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
vulgatus_Bacteroides	0.246645859748639	-0.340299566764293	-0.0608994008334804	0.157140632199681	0.189776185562137	0.186987358215198	1.5695867853912	-1.79316264449245	-0.325687262576292	0.118923590678435	0.0752541962786858	0.745180625853994	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
wadsworthensis_Sutterella	-0.0663969746708715	0.420093274135375	-0.221188644346564	0.087255998592269	0.133574927753734	0.144059224364878	-0.760944528079178	3.14500094591015	-1.53540077229855	0.450412393832752	0.00284917190400723	0.131251349375666	1	0.333353112768846	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Bilophila	-0.0830639264629334	0.104146520125152	0.0534900467029264	0.0804766957234431	0.117740644561133	0.129809947444246	-1.03214881918588	0.884541786851503	0.412064312142956	0.306439540650291	0.38018596021228	0.681865404237026	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
